# Time (s)	Gamma
     485.7	    0.0843
     486.0	    0.0843
     486.3	    0.0843
     486.6	    0.0843
     486.9	    0.0843
     487.2	    0.0842
     487.5	    0.0842
     487.8	    0.0842
     488.1	    0.0841
     488.4	    0.0841
     488.7	    0.0841
     489.0	    0.0841
     489.3	    0.0841
     489.6	    0.0841
     489.9	    0.0841
     490.2	    0.0842
     490.5	    0.0842
     490.8	    0.0842
     491.1	    0.0842
     491.4	    0.0842
     491.7	    0.0841
     492.0	    0.0841
     492.3	    0.0841
     492.6	    0.0840
     492.9	    0.0840
     493.2	    0.0840
     493.5	    0.0840
     493.8	    0.0841
     494.1	    0.0841
     494.4	    0.0841
     494.7	    0.0841
     495.0	    0.0841
     495.3	    0.0841
     495.6	    0.0841
     495.9	    0.0840
     496.2	    0.0840
     496.5	    0.0840
     496.8	    0.0839
     497.1	    0.0839
     497.4	    0.0839
     497.7	    0.0839
     498.0	    0.0839
     498.3	    0.0839
     498.6	    0.0839
     498.9	    0.0840
     499.2	    0.0840
     499.5	    0.0840
     499.8	    0.0840
     500.1	    0.0840
     500.4	    0.0840
     500.7	    0.0840
     501.0	    0.0840
     501.3	    0.0840
     501.6	    0.0839
     501.9	    0.0839
     502.2	    0.0839
     502.5	    0.0838
     502.8	    0.0838
     503.1	    0.0838
     503.4	    0.0838
     503.7	    0.0838
     504.0	    0.0839
     504.3	    0.0839
     504.6	    0.0839
     504.9	    0.0839
     505.2	    0.0839
     505.5	    0.0839
     505.8	    0.0839
     506.1	    0.0839
     506.4	    0.0838
     506.7	    0.0838
     507.0	    0.0838
     507.3	    0.0838
     507.6	    0.0837
     507.9	    0.0838
     508.2	    0.0837
     508.5	    0.0837
     508.8	    0.0838
     509.1	    0.0838
     509.4	    0.0838
     509.7	    0.0839
     510.0	    0.0839
     510.3	    0.0839
     510.6	    0.0839
     510.9	    0.0838
     511.2	    0.0838
     511.5	    0.0837
     511.8	    0.0837
     512.1	    0.0837
     512.4	    0.0837
     512.7	    0.0837
     513.0	    0.0837
     513.3	    0.0837
     513.6	    0.0838
     513.9	    0.0838
     514.2	    0.0838
     514.5	    0.0838
     514.8	    0.0838
     515.1	    0.0838
     515.4	    0.0837
     515.7	    0.0837
     516.0	    0.0836
     516.3	    0.0836
     516.6	    0.0836
     516.9	    0.0836
     517.2	    0.0836
     517.5	    0.0837
     517.8	    0.0837
     518.1	    0.0837
     518.4	    0.0837
     518.7	    0.0837
     519.0	    0.0837
     519.3	    0.0837
     519.6	    0.0837
     519.9	    0.0836
     520.2	    0.0836
     520.5	    0.0836
     520.8	    0.0835
     521.1	    0.0835
     521.4	    0.0835
     521.7	    0.0835
     522.0	    0.0836
     522.3	    0.0836
     522.6	    0.0836
     522.9	    0.0836
     523.2	    0.0836
     523.5	    0.0836
     523.8	    0.0835
     524.1	    0.0835
     524.4	    0.0835
     524.7	    0.0835
     525.0	    0.0835
     525.3	    0.0835
     525.6	    0.0835
     525.9	    0.0835
     526.2	    0.0835
     526.5	    0.0836
     526.8	    0.0836
     527.1	    0.0836
     527.4	    0.0836
     527.7	    0.0836
     528.0	    0.0836
     528.3	    0.0836
     528.6	    0.0835
     528.9	    0.0835
     529.2	    0.0835
     529.5	    0.0835
     529.8	    0.0834
     530.1	    0.0834
     530.4	    0.0834
     530.7	    0.0834
     531.0	    0.0834
     531.3	    0.0835
     531.6	    0.0835
     531.9	    0.0835
     532.2	    0.0835
     532.5	    0.0835
     532.8	    0.0835
     533.1	    0.0835
     533.4	    0.0834
     533.7	    0.0834
     534.0	    0.0833
     534.3	    0.0833
     534.6	    0.0833
     534.9	    0.0833
     535.2	    0.0833
     535.5	    0.0834
     535.8	    0.0834
     536.1	    0.0834
     536.4	    0.0834
     536.7	    0.0834
     537.0	    0.0834
     537.3	    0.0834
     537.6	    0.0834
     537.9	    0.0834
     538.2	    0.0834
     538.5	    0.0834
     538.8	    0.0833
     539.1	    0.0833
     539.4	    0.0833
     539.7	    0.0832
     540.0	    0.0832
     540.3	    0.0833
     540.6	    0.0833
     540.9	    0.0833
     541.2	    0.0833
     541.5	    0.0833
     541.8	    0.0833
     542.1	    0.0833
     542.4	    0.0833
     542.7	    0.0833
     543.0	    0.0833
     543.3	    0.0833
     543.6	    0.0833
     543.9	    0.0832
     544.2	    0.0832
     544.5	    0.0832
     544.8	    0.0832
     545.1	    0.0832
     545.4	    0.0832
     545.7	    0.0833
     546.0	    0.0833
     546.3	    0.0833
     546.6	    0.0833
     546.9	    0.0833
     547.2	    0.0832
     547.5	    0.0832
     547.8	    0.0832
     548.1	    0.0831
     548.4	    0.0831
     548.7	    0.0831
     549.0	    0.0831
     549.3	    0.0832
     549.6	    0.0832
     549.9	    0.0832
     550.2	    0.0833
     550.5	    0.0833
     550.8	    0.0832
     551.1	    0.0832
     551.4	    0.0832
     551.7	    0.0832
     552.0	    0.0832
     552.3	    0.0832
     552.6	    0.0832
     552.9	    0.0832
     553.2	    0.0831
     553.5	    0.0831
     553.8	    0.0831
     554.1	    0.0831
     554.4	    0.0830
     554.7	    0.0831
     555.0	    0.0831
     555.3	    0.0831
     555.6	    0.0831
     555.9	    0.0832
     556.2	    0.0832
     556.5	    0.0832
     556.8	    0.0831
     557.1	    0.0831
     557.4	    0.0830
     557.7	    0.0830
     558.0	    0.0830
     558.3	    0.0830
     558.6	    0.0830
     558.9	    0.0831
     559.2	    0.0831
     559.5	    0.0831
     559.8	    0.0831
     560.1	    0.0831
     560.4	    0.0831
     560.7	    0.0831
     561.0	    0.0831
     561.3	    0.0831
     561.6	    0.0831
     561.9	    0.0831
     562.2	    0.0830
     562.5	    0.0830
     562.8	    0.0830
     563.1	    0.0829
     563.4	    0.0829
     563.7	    0.0829
     564.0	    0.0830
     564.3	    0.0830
     564.6	    0.0830
     564.9	    0.0830
     565.2	    0.0830
     565.5	    0.0830
     565.8	    0.0830
     566.1	    0.0830
     566.4	    0.0829
     566.7	    0.0829
     567.0	    0.0829
     567.3	    0.0829
     567.6	    0.0829
     567.9	    0.0829
     568.2	    0.0830
     568.5	    0.0830
     568.8	    0.0830
     569.1	    0.0830
     569.4	    0.0830
     569.7	    0.0830
     570.0	    0.0830
     570.3	    0.0830
     570.6	    0.0830
     570.9	    0.0830
     571.2	    0.0829
     571.5	    0.0829
     571.8	    0.0828
     572.1	    0.0828
     572.4	    0.0828
     572.7	    0.0828
     573.0	    0.0829
     573.3	    0.0829
     573.6	    0.0829
     573.9	    0.0830
     574.2	    0.0889
     574.5	    0.1052
     574.8	    0.1177
     575.1	    0.1269
     575.4	    0.1321
     575.7	    0.1352
     576.0	    0.1374
     576.3	    0.1383
     576.6	    0.1385
     576.9	    0.1382
     577.2	    0.1376
     577.5	    0.1366
     577.8	    0.1355
     578.1	    0.1343
     578.4	    0.1329
     578.7	    0.1316
     579.0	    0.1301
     579.3	    0.1288
     579.6	    0.1275
     579.9	    0.1261
     580.2	    0.1248
     580.5	    0.1237
     580.8	    0.1224
     581.1	    0.1214
     581.4	    0.1202
     581.7	    0.1193
     582.0	    0.1183
     582.3	    0.1173
     582.6	    0.1164
     582.9	    0.1155
     583.2	    0.1146
     583.5	    0.1137
     583.8	    0.1129
     584.1	    0.1121
     584.4	    0.1114
     584.7	    0.1106
     585.0	    0.1099
     585.3	    0.1092
     585.6	    0.1085
     585.9	    0.1079
     586.2	    0.1072
     586.5	    0.1066
     586.8	    0.1061
     587.1	    0.1056
     587.4	    0.1051
     587.7	    0.1046
     588.0	    0.1041
     588.3	    0.1037
     588.6	    0.1032
     588.9	    0.1027
     589.2	    0.1023
     589.5	    0.1018
     589.8	    0.1014
     590.1	    0.1010
     590.4	    0.1006
     590.7	    0.1002
     591.0	    0.0998
     591.3	    0.0995
     591.6	    0.0991
     591.9	    0.0987
     592.2	    0.0984
     592.5	    0.0980
     592.8	    0.0977
     593.1	    0.0975
     593.4	    0.0971
     593.7	    0.0969
     594.0	    0.0967
     594.3	    0.0965
     594.6	    0.0962
     594.9	    0.0960
     595.2	    0.0957
     595.5	    0.0955
     595.8	    0.0952
     596.1	    0.0950
     596.4	    0.0947
     596.7	    0.0945
     597.0	    0.0942
     597.3	    0.0940
     597.6	    0.0937
     597.9	    0.0936
     598.2	    0.0934
     598.5	    0.0933
     598.8	    0.0931
     599.1	    0.0929
     599.4	    0.0927
     599.7	    0.0926
     600.0	    0.0924
     600.3	    0.0922
     600.6	    0.0920
     600.9	    0.0918
     601.2	    0.0916
     601.5	    0.0914
     601.8	    0.0913
     602.1	    0.0911
     602.4	    0.0910
     602.7	    0.0909
     603.0	    0.0908
     603.3	    0.0907
     603.6	    0.0906
     603.9	    0.0904
     604.2	    0.0903
     604.5	    0.0902
     604.8	    0.0900
     605.1	    0.0898
     605.4	    0.0897
     605.7	    0.0895
     606.0	    0.0894
     606.3	    0.0893
     606.6	    0.0893
     606.9	    0.0892
     607.2	    0.0891
     607.5	    0.0890
     607.8	    0.0889
     608.1	    0.0888
     608.4	    0.0887
     608.7	    0.0886
     609.0	    0.0885
     609.3	    0.0884
     609.6	    0.0883
     609.9	    0.0882
     610.2	    0.0881
     610.5	    0.0880
     610.8	    0.0879
     611.1	    0.0878
     611.4	    0.0877
     611.7	    0.0876
     612.0	    0.0875
     612.3	    0.0874
     612.6	    0.0873
     612.9	    0.0873
     613.2	    0.0873
     613.5	    0.0872
     613.8	    0.0872
     614.1	    0.0871
     614.4	    0.0870
     614.7	    0.0870
     615.0	    0.0869
     615.3	    0.0868
     615.6	    0.0867
     615.9	    0.0867
     616.2	    0.0866
     616.5	    0.0865
     616.8	    0.0865
     617.1	    0.0864
     617.4	    0.0863
     617.7	    0.0862
     618.0	    0.0861
     618.3	    0.0860
     618.6	    0.0860
     618.9	    0.0860
     619.2	    0.0860
     619.5	    0.0859
     619.8	    0.0859
     620.1	    0.0859
     620.4	    0.0858
     620.7	    0.0858
     621.0	    0.0857
     621.3	    0.0856
     621.6	    0.0855
     621.9	    0.0855
     622.2	    0.0854
     622.5	    0.0853
     622.8	    0.0853
     623.1	    0.0852
     623.4	    0.0852
     623.7	    0.0852
     624.0	    0.0852
     624.3	    0.0852
     624.6	    0.0852
     624.9	    0.0851
     625.2	    0.0851
     625.5	    0.0850
     625.8	    0.0850
     626.1	    0.0849
     626.4	    0.0849
     626.7	    0.0848
     627.0	    0.0848
     627.3	    0.0848
     627.6	    0.0847
     627.9	    0.0847
     628.2	    0.0846
     628.5	    0.0845
     628.8	    0.0844
     629.1	    0.0844
     629.4	    0.0844
     629.7	    0.0844
     630.0	    0.0844
